id;title;description;category_slug;base_price;image_url;is_active;blg_in_stock;blg_stock_qty;blg_price_override;vvo_in_stock;vvo_stock_qty;vvo_price_override
;BRYZGI SALT Малина Личи;;жидкости;180;Bryzgi_Malina_Lichi;true;false;;;true;2;
;BRYZGI SALT Холодный Персик;;жидкости;180;Bryzgi_Holodnyy_Persik;true;false;;;true;2;
;Dota & Cats Bounty hunter - Кислые желейные мишки с ананасом и бананом;;жидкости;225;Dota_Cats_Kislye_Zheleynye_Mishki_S_Ananasom_I_Bananom;true;false;;;true;2;
;Dota & Cats Pudge - Ананасовый леденец;;жидкости;225;Dota_Cats_Ananasovyy_Ledenets;true;false;;;true;2;
;DUAL Strong Фруктовый Мармелад;;жидкости;195;;true;false;;;true;2;
;DUAL EXTRA Клюква Лимон;;жидкости;195;DUALL_EXTRA_Klyukva_Limon;true;false;;;true;2;
;DUAL EXTRA Кола Лимон;;жидкости;195;DUALL_EXTRA_Chernika_Limon;true;false;;;true;1;
;DUAL EXTRA Черника Лимон;;жидкости;195;Narcoz_Ledentsy_S_Vitaminom;true;false;;;true;2;
;NARCOZ 5% Леденцы с витамином;;жидкости;240;Narcoz_Nektarin;true;false;;;true;2;
;NARCOZ 5% Нектарин;;жидкости;240;Narcoz_Tropicheskie_Frukty;true;false;;;true;2;
;NARCOZ 5% Тропические фрукты;;жидкости;240;Narcoz_Frutella;true;false;;;true;2;
;NARCOZ 5% Фрутелла;;жидкости;240;Narcoz_Chernichnyy_Dzhem;true;false;;;true;2;
;NARCOZ 5% Черничный джем;;жидкости;240;Narcoz_Energetik;true;false;;;true;2;
;NARCOZ 5% Энергетик;;жидкости;240;OGGO_Acid_Kislye_Marmeladnye_Mishki;true;false;;;true;2;
;OGGO ACID Мармеладные мишки кислые;;жидкости;260;OGGO_Cherry_Kislyy_Vishnevyy_Limonad;true;false;;;true;2;
;OGGO CHERRY Кислый вишнёвый лимонад;;жидкости;260;OGGO_Cherry_Sladkaya_Vishnya;true;false;;;true;2;
;OGGO CHERRY Сладкая вишня;;жидкости;260;OGGO_Max_Ananasovyy_Sok;true;false;;;true;2;
;OGGO MAX Ананасовый сок;;жидкости;260;OGGO_Reels_Aloe_Vinograd;true;false;;;true;2;
;OGGO REELS Алоэ виноград ICE;;жидкости;260;OGGO_Reels_Klubnika_Lichi;true;false;;;true;2;
;OGGO REELS Клубника личи;;жидкости;260;OGGO_Reels_Pina_Kolada;true;false;;;true;2;
;OGGO REELS Пина колада ICE;;жидкости;260;OGGO_Reels_Energetik_Marakuyya;true;false;;;true;2;
;OGGO REELS Энергетик маракуйя ICE;;жидкости;260;OGGO_Sour_Kislye_Ananas_Malina;true;false;;;true;2;
;OGGO SOUR Ананас малина ICE;;жидкости;260;OGGO_Sour_Kisloe_Kivi;true;false;;;true;1;
;OGGO SOUR Киви ICE;;жидкости;260;OGGO_Sour_Klyukvennaya_Sodovaya;true;false;;;true;2;
;OGGO SOUR Клюквенная содовая;;жидкости;260;OGGO_Sour_Kislaya_Marakuyya;true;false;;;true;2;
;OGGO SOUR Маракуйя ICE;;жидкости;260;OGGO_Sour_Marmeladnye_Chervyachki_S_Koloy;true;false;;;true;2;
;OGGO SOUR Мармеладные червячки с колой;;жидкости;260;TRAVA_Vishnya;true;false;;;true;2;
;TRAVA Вишня Лёд;;жидкости;240;TRAVA_Kivi_Klubnika;true;false;;;true;2;
;TRAVA Киви клубника;;жидкости;240;TRAVA_Kola_Vishnya;true;false;;;true;2;
;TRAVA Кола с вишней;;жидкости;240;TRAVA_Malinovyy_Shveps;true;false;;;true;2;
;TRAVA Малиновый швепс;;жидкости;240;TRAVA_Marakuyya_Banan;true;false;;;true;2;
;TRAVA Маракуйя Банан Лёд;;жидкости;240;TRAVA_Mohito;true;false;;;true;2;
;TRAVA Мохито;;жидкости;240;TRAVA_Golubaya_Malina;true;false;;;true;2;
;TRAVA Синяя малина;;жидкости;240;TRAVA_Vinogradnaya_Fanta;true;false;;;true;2;
;TRAVA Фанта с виноградом;;жидкости;240;TRAVA_Vinograd_Smorodina;true;false;;;true;2;
;TRAVA Черёмуха виноград Лёд;;жидкости;240;TRAVA_Smorodina;true;false;;;true;2;
;TRAVA Чёрная смородина Лёд;;жидкости;240;TRAVA_Energetik;true;false;;;true;2;
;TRAVA Энергетик Лёд;;жидкости;240;PODONKI_Critical_Kola_Soda_Ays;true;false;;;true;2;
;PODONKI&Critical Кола Сода Айс;;жидкости;230;PODONKI_Critical_Babl_Gam;true;false;;;true;4;
;PODONKI&Critical Бабл гам;;жидкости;230;PODONKI_Critical_Dynya_Kokos;true;false;;;true;2;
;PODONKI&Critical Дыня кокос;;жидкости;230;PODONKI_Critical_Zemlyanika_Grusha;true;false;;;true;2;
;PODONKI&Critical Земляника Груша;;жидкости;230;;true;false;;;true;2;
;PODONKI&Critical Кислая смородина с черникой;;жидкости;230;PODONKI_Critical_Kislye_Vishnevye_Chervyachki;true;false;;;true;2;
;PODONKI&Critical Кислые вишневые червячки;;жидкости;230;PODONKI_Critical_Kislyy_Kivi;true;false;;;true;2;
;PODONKI&Critical Кислый киви;;жидкости;230;PODONKI_Critical_Kislyy_Malinovyy_Limonad;true;false;;;true;2;
;PODONKI&Critical Кислый малиновый лимонад;;жидкости;230;PODONKI_Critical_Kislyy_Skitls;true;false;;;true;2;
;PODONKI&Critical Кислый скитлс;;жидкости;230;PODONKI_Critical_Ledyanoy_Ananas;true;false;;;true;2;
;PODONKI&Critical Ледяной ананас;;жидкости;230;PODONKI_Critical_Limonnye_Chervyachki;true;false;;;true;2;
;PODONKI&Critical Лимонные червячки;;жидкости;230;PODONKI_Critical_Mango_Apelsin;true;false;;;true;2;
;PODONKI&Critical Манго Апельсин;;жидкости;230;PODONKI_Critical_Yagodnyy_Smuzi;true;false;;;true;2;
;PODONKI&Critical Ягодный смузи;;жидкости;230;PODONKI_Critical_Yagodnyy_Energetik;true;false;;;true;2;
;PODONKI&Critical Ягодный энергетик;;жидкости;230;PODONKI_Last_Hap_Kola_Soda_Led;true;false;;;true;2;
;PODONKI LAST HAB Кола сода лёд;;жидкости;220;Kartridzh_XROS_0.8_Om;true;false;;;true;2;
;Картридж XROS 0.8 Ом;;картриджи;350;;true;false;;;true;4;
